feedback_id,session_id,page_url,rating,comments
F0000,SID00386,/page/1,3,Could be better organized
F0001,SID00893,/page/1,5,Very helpful site
F0002,SID01932,/page/2,5,Very helpful site
F0003,SID01733,/page/3,5,Super fast and easy
F0004,SID01338,/page/2,4,Pretty quick overall
F0005,SID00037,/page/5,2,Didn't trust the site
F0006,SID01364,/page/4,1,Page took forever to load
F0007,SID00850,/page/1,2,Plan info unclear
F0008,SID00728,/page/2,5,Super fast and easy
F0009,SID00230,/page/3,4,ZIP entry was smooth
F0010,SID00451,/page/2,5,Super fast and easy
F0011,SID01365,/page/1,4,Worked fine on mobile
F0012,SID01476,/page/5,4,Pretty quick overall
F0013,SID00256,/page/5,1,Couldn't find my ZIP code
F0014,SID00433,/page/2,2,Plan info unclear
F0015,SID00208,/page/1,3,Could be better organized
F0016,SID01224,/page/3,4,Pretty quick overall
F0017,SID00136,/page/1,2,Didn't trust the site
F0018,SID01663,/page/4,5,Very helpful site
F0019,SID00564,/page/1,3,Could be better organized
F0020,SID00855,/page/1,5,Best ISP info I've seen
F0021,SID01417,/page/1,1,Page took forever to load
F0022,SID01619,/page/1,4,ZIP entry was smooth
F0023,SID00720,/page/3,3,"It's okay, but felt cluttered"
F0024,SID00844,/page/2,5,Super fast and easy
F0025,SID01820,/page/2,3,"It's okay, but felt cluttered"
F0026,SID00035,/page/4,4,Pretty quick overall
F0027,SID01238,/page/2,5,Super fast and easy
F0028,SID00026,/page/2,1,Form was broken
F0029,SID01681,/page/3,1,Couldn't find my ZIP code
F0030,SID00017,/page/4,5,Super fast and easy
F0031,SID00629,/page/2,4,Pretty quick overall
F0032,SID01160,/page/2,3,Slow but usable
F0033,SID00578,/page/4,4,Pretty quick overall
F0034,SID00902,/page/2,1,Couldn't find my ZIP code
F0035,SID01849,/page/2,2,Didn't trust the site
F0036,SID00974,/page/3,3,"It's okay, but felt cluttered"
F0037,SID01053,/page/4,5,Very helpful site
F0038,SID01096,/page/1,4,Pretty quick overall
F0039,SID00122,/page/3,4,Worked fine on mobile
F0040,SID00956,/page/3,5,Very helpful site
F0041,SID01000,/page/5,3,Could be better organized
F0042,SID00986,/page/2,4,Worked fine on mobile
F0043,SID01251,/page/5,5,Super fast and easy
F0044,SID00337,/page/2,2,Plan info unclear
F0045,SID00990,/page/5,3,Could be better organized
F0046,SID00272,/page/4,5,Loved the comparison tool
F0047,SID01781,/page/3,5,Very helpful site
F0048,SID01460,/page/3,2,Too many plans listed
F0049,SID00901,/page/1,1,Form was broken
F0050,SID00038,/page/2,3,Could be better organized
F0051,SID01944,/page/2,3,Slow but usable
F0052,SID00681,/page/3,3,Slow but usable
F0053,SID00425,/page/1,4,Easy to find plans
